id_cliente;idade;classe_trabalho;escolaridade;id_estado;estado_civil;raca;qtde_filhos;salario
72;31;Funcionário Setor Privado;Ensino Médio Completo;15;Separado;Negro;4;3805
73;29;Autônomo;Ensino Médio Completo;7;Casado;Branco;4;2465
74;23;Funcionário Setor Privado;Ensino Médio Completo;12;Solteiro;Branco;3;3916
75;79;Aposentado;Ensino Médio Completo;18;Casado;Branco;5;1495
76;27;Funcionário Setor Privado;Ensino Médio Incompleto;19;Solteiro;Branco;3;1100
77;40;Funcionário Setor Privado;Ensino Médio Completo;10;Casado;Branco;0;3124
78;67;Aposentado;Ensino Fundamental Completo;9;Casado;Branco;1;1711
79;18;Funcionário Setor Privado;Ensino Médio Incompleto;15;Solteiro;Branco;0;1100
80;31;Empresário;Ensino Fundamental Incompleto;19;Casado;Branco;2;13518
81;18;Funcionário Setor Privado;Ensino Médio Incompleto;4;Solteiro;Branco;1;1100
82;52;Funcionário Setor Privado;Ensino Médio Completo;27;Casado;Branco;3;3919
83;59;Funcionário Setor Privado;Superior Completo;16;Casado;Branco;5;11734
84;44;Funcionário Setor Privado;Superior Incompleto;22;Divorciado;Branco;4;3716
85;53;Funcionário Setor Privado;Pós-Graduado;13;Divorciado;Branco;4;6480
86;49;Empresário;Ensino Médio Incompleto;26;Casado;Branco;0;7371
87;33;Funcionário Setor Privado;Mestrado;24;Casado;Branco;0;10161
88;30;Funcionário Setor Privado;Ensino Fundamental Completo;23;Solteiro;Branco;2;1100
89;43;Funcionário Público;Doutorado;17;Solteiro;Branco;2;11124
90;57;Funcionário Setor Privado;Ensino Médio Completo;1;Casado;Branco;0;2297
91;37;Funcionário Setor Privado;Ensino Médio Completo;8;Divorciado;Branco;0;2899
92;28;Funcionário Setor Privado;Ensino Médio Completo;4;Divorciado;Negro;4;2901
93;30;Funcionário Setor Privado;Ensino Médio Incompleto;16;Casado;Pardo;5;1100
94;34;Empresário;Ensino Médio Completo;13;Casado;Branco;3;4426
95;29;Empresário;Ensino Médio Completo;7;Solteiro;Branco;4;3942
96;48;Autônomo;Doutorado;6;Casado;Branco;3;9784
97;37;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Branco;4;2107
98;48;Funcionário Setor Privado;Ensino Médio Completo;7;Divorciado;Branco;1;2742
99;32;Funcionário Público;Ensino Médio Incompleto;26;Solteiro;Negro;5;1837
100;76;Aposentado;Mestrado;9;Casado;Branco;0;2024
101;44;Funcionário Setor Privado;Ensino Médio Completo;9;Casado;Branco;0;3154
102;47;Autônomo;Mestrado;19;Solteiro;Branco;3;7163
103;20;Funcionário Setor Privado;Ensino Médio Completo;13;Solteiro;Branco;0;3675
104;29;Funcionário Setor Privado;Ensino Médio Incompleto;14;Solteiro;Branco;1;1100
105;32;MEI;Ensino Médio Incompleto;21;Casado;Branco;4;6332
106;17;Menor Aprendiz;Ensino Fundamental Completo;3;Solteiro;Branco;1;1100
107;30;Funcionário Setor Privado;Superior Completo;26;Solteiro;Branco;0;7640
108;31;Empresário;Superior Incompleto;6;Solteiro;Branco;1;10089
109;42;Funcionário Setor Privado;Pós-Graduado;3;Casado;Branco;2;6646
110;24;Funcionário Setor Privado;Ensino Médio Completo;10;Solteiro;Branco;4;3967
111;38;Funcionário Setor Privado;Mestrado;2;Casado;Branco;4;6836
112;56;Autônomo;Ensino Médio Incompleto;5;Casado;Branco;4;1100
113;28;Funcionário Setor Privado;Ensino Médio Completo;16;Casado;Branco;3;3179
114;36;Funcionário Setor Privado;Ensino Médio Incompleto;15;Solteiro;Branco;3;1100
115;53;Funcionário Setor Privado;Ensino Fundamental Completo;6;Casado;Branco;5;1100
116;56;MEI;Ensino Médio Completo;20;Casado;Branco;0;5386
117;49;Empresário;Ensino Médio Completo;1;Casado;Negro;0;3043
118;55;Funcionário Setor Privado;Ensino Médio Completo;20;Casado;Branco;0;2373
119;22;Funcionário Setor Privado;Ensino Médio Incompleto;26;Solteiro;Branco;2;1100
120;21;Funcionário Setor Privado;Ensino Médio Completo;13;Solteiro;Branco;0;3958
121;40;Funcionário Setor Privado;Ensino Médio Completo;27;Casado;Branco;0;2678
122;30;Funcionário Setor Privado;Ensino Médio Completo;25;Solteiro;Negro;4;3971
123;29;Servidor Público;Ensino Médio Completo;10;Casado;Branco;3;5712
124;19;Funcionário Setor Privado;Ensino Médio Completo;17;Solteiro;Negro;1;3296
125;47;Funcionário Setor Privado;Ensino Médio Completo;16;Casado;Branco;3;3976
126;20;Funcionário Setor Privado;Ensino Médio Completo;15;Solteiro;Branco;1;3020
127;31;Funcionário Setor Privado;Ensino Médio Completo;3;Casado;Branco;5;3781
128;35;;Ensino Médio Incompleto;1;Casado;Amarelo;4;1100
129;39;Funcionário Setor Privado;Ensino Médio Completo;4;Divorciado;Branco;3;2457
130;28;Funcionário Setor Privado;Ensino Médio Completo;8;Solteiro;Amarelo;1;2297
131;24;Funcionário Setor Privado;Ensino Médio Incompleto;15;Solteiro;Branco;5;1100
132;38;Autônomo;Ensino Médio Incompleto;17;Casado;Branco;0;1100
133;37;Funcionário Setor Privado;Ensino Médio Completo;24;Casado;Branco;3;2816
134;46;Funcionário Setor Privado;Ensino Médio Completo;22;Divorciado;Negro;0;3095
135;38;Funcionário Público;Mestrado;17;Casado;Branco;5;9952
136;43;Autônomo;Ensino Médio Incompleto;27;Casado;Branco;2;1100
137;27;Funcionário Setor Privado;Ensino Médio Completo;14;Casado;Amarelo;5;2485
138;20;Funcionário Setor Privado;Ensino Médio Completo;7;Solteiro;Branco;0;3892
139;49;Funcionário Setor Privado;Ensino Médio Completo;8;Casado;Pardo;1;2835
140;61;MEI;Ensino Médio Incompleto;4;Casado;Branco;1;4285
141;27;Funcionário Setor Privado;Ensino Médio Completo;21;Solteiro;Branco;2;3592
142;19;Funcionário Setor Privado;Ensino Médio Completo;3;Solteiro;Amarelo;1;2915
143;45;Funcionário Setor Privado;Ensino Médio Completo;22;Solteiro;Branco;1;3256
144;70;Aposentado;Ensino Médio Completo;2;Solteiro;Branco;4;2616
145;31;Funcionário Setor Privado;Ensino Médio Incompleto;1;Solteiro;Negro;4;1100
146;22;Funcionário Setor Privado;Ensino Médio Completo;14;Casado;Amarelo;3;3613
147;36;Funcionário Setor Privado;Ensino Médio Incompleto;5;Viúvo;Branco;5;1100
148;64;Funcionário Setor Privado;Ensino Médio Incompleto;26;Casado;Branco;4;1100
149;43;;Ensino Médio Completo;21;Divorciado;Branco;0;2490
150;47;Empresário;Ensino Médio Completo;8;Divorciado;Branco;2;10360
151;34;Funcionário Setor Privado;Ensino Médio Incompleto;25;Solteiro;Branco;1;1100
152;33;Funcionário Setor Privado;Ensino Médio Completo;27;Solteiro;Pardo;2;2926
153;21;Funcionário Setor Privado;Ensino Médio Incompleto;2;Solteiro;Branco;3;1100
154;52;;Ensino Médio Incompleto;18;Divorciado;Branco;1;1100
155;48;Funcionário Setor Privado;Ensino Médio Incompleto;4;Casado;Branco;1;1100
156;23;Funcionário Setor Privado;Ensino Médio Completo;26;Solteiro;Amarelo;1;3272
157;71;Aposentado;Ensino Médio Completo;5;Separado;Negro;5;5075
158;29;Funcionário Setor Privado;Ensino Médio Incompleto;7;Divorciado;Branco;1;1100
159;42;Funcionário Setor Privado;Ensino Médio Completo;10;Separado;Negro;5;3511
160;68;Aposentado;Ensino Fundamental Incompleto;14;Divorciado;Branco;0;2480
161;25;Funcionário Setor Privado;Ensino Médio Incompleto;19;Solteiro;Branco;5;1100
162;44;MEI;Mestrado;24;Divorciado;Pardo;4;3829
163;28;Funcionário Setor Privado;Ensino Médio Incompleto;27;Solteiro;Pardo;1;1100
164;45;Autônomo;Mestrado;13;Casado;Branco;1;6871
165;36;Funcionário Setor Privado;Ensino Médio Completo;25;Divorciado;Branco;1;3183
166;39;Funcionário Público;Ensino Médio Completo;12;Solteiro;Branco;0;3630
167;46;Servidor Público;Mestrado;14;Viúvo;Amarelo;2;8107
168;18;Funcionário Setor Privado;Ensino Médio Incompleto;19;Solteiro;Amarelo;2;1100
169;66;Aposentado;Ensino Médio Completo;21;Viúvo;Branco;3;5889
170;27;Funcionário Setor Privado;Ensino Médio Incompleto;21;Solteiro;Branco;2;1100
171;28;Servidor Público;Ensino Médio Incompleto;14;Casado;Branco;0;1313
172;51;Funcionário Setor Privado;Ensino Médio Completo;8;Casado;Branco;5;3272
173;27;Funcionário Setor Privado;Ensino Médio Completo;9;Solteiro;Branco;1;2547
174;28;Servidor Público;Ensino Médio Completo;27;Casado;Branco;0;5059
175;27;Funcionário Setor Privado;Ensino Médio Incompleto;24;União Estável;Branco;3;1100
176;21;Funcionário Setor Privado;Ensino Médio Incompleto;19;Solteiro;Negro;4;1100
177;34;Funcionário Setor Privado;Ensino Médio Incompleto;17;Solteiro;Negro;5;1100
178;18;Funcionário Setor Privado;Ensino Médio Incompleto;17;Solteiro;Branco;1;1100
179;33;Funcionário Setor Privado;Ensino Médio Completo;19;Casado;Branco;3;3450
180;44;Empresário;Ensino Médio Completo;11;Casado;Negro;0;2441
181;43;Funcionário Setor Privado;Ensino Médio Completo;27;Divorciado;Branco;5;3377
182;30;Funcionário Setor Privado;Ensino Médio Completo;1;Solteiro;Negro;2;3229
183;40;Funcionário Setor Privado;Ensino Fundamental Incompleto;17;Casado;Branco;3;1100
184;37;Funcionário Público;Ensino Médio Completo;25;Casado;Branco;3;3915
185;34;Funcionário Setor Privado;Ensino Médio Incompleto;7;Casado;Negro;0;1100
186;41;Autônomo;Ensino Médio Completo;15;Divorciado;Branco;3;3232
187;53;;Ensino Médio Completo;16;Divorciado;Branco;1;3477
188;31;Funcionário Setor Privado;Mestrado;12;Casado;Branco;3;10280
189;58;Servidor Público;Doutorado;10;Casado;Branco;0;13404
190;38;Funcionário Setor Privado;Ensino Médio Completo;27;Divorciado;Negro;;2369
191;24;Funcionário Setor Privado;Ensino Médio Completo;25;Casado;Branco;4;2162
192;41;Empresário;Superior Completo;4;Casado;Negro;1;2626
193;47;Funcionário Setor Privado;Superior Incompleto;20;Casado;Amarelo;5;2414
194;41;Funcionário Público;Pós-Graduado;20;Casado;Amarelo;0;7564
195;23;Funcionário Setor Privado;Ensino Fundamental Incompleto;19;Casado;Branco;1;1100
196;36;Funcionário Setor Privado;Ensino Médio Completo;12;Divorciado;Branco;2;3466
197;40;Funcionário Público;Mestrado;17;Solteiro;Amarelo;4;7352
198;35;Funcionário Setor Privado;Mestrado;26;Casado;Branco;4;8748
199;24;Autônomo;Ensino Médio Incompleto;2;Solteiro;Branco;2;1100
200;26;Funcionário Setor Privado;Mestrado;18;Solteiro;Branco;5;9089
201;19;;Ensino Médio Incompleto;18;Solteiro;Amarelo;0;1100
202;51;Funcionário Setor Privado;Ensino Médio Completo;25;Casado;Branco;3;2699
203;42;Empresário;Ensino Médio Completo;22;Solteiro;Amarelo;5;3408
204;37;Servidor Público;Ensino Médio Incompleto;27;Divorciado;Branco;4;1832
205;18;Funcionário Setor Privado;Ensino Médio Incompleto;4;Solteiro;Amarelo;0;1100
206;36;Funcionário Setor Privado;Ensino Médio Completo;10;Casado;Negro;0;3633
207;35;Funcionário Setor Privado;Ensino Médio Incompleto;19;Divorciado;Branco;5;1100
208;58;MEI;Ensino Médio Incompleto;6;Casado;Branco;4;4559
209;17;Menor Aprendiz;Ensino Médio Incompleto;16;Solteiro;Branco;2;1100
210;44;Empresário;Ensino Médio Incompleto;2;Casado;Negro;3;3177
211;37;Funcionário Setor Privado;Ensino Médio Incompleto;8;Casado;Branco;5;1100
212;35;Funcionário Setor Privado;Ensino Médio Completo;19;Solteiro;Indígena;2;2833
213;60;Funcionário Setor Privado;Ensino Médio Incompleto;16;Casado;Pardo;4;1100
214;54;MEI;Ensino Fundamental Incompleto;11;Casado;Branco;5;4752
215;37;Funcionário Setor Privado;Ensino Médio Completo;22;Solteiro;Negro;1;2144
216;50;Funcionário Setor Privado;Ensino Médio Completo;5;Divorciado;Branco;2;3416
217;38;Funcionário Setor Privado;Ensino Médio Completo;26;Casado;Branco;5;2974
218;45;Funcionário Setor Privado;Ensino Médio Completo;15;Casado;Amarelo;1;3355
219;25;Funcionário Setor Privado;Ensino Fundamental Completo;5;Solteiro;Branco;3;1100
220;31;Funcionário Setor Privado;Ensino Médio Completo;26;Casado;Amarelo;5;2202
221;64;;Ensino Fundamental Incompleto;11;Divorciado;Branco;0;1100
222;90;Aposentado;Ensino Médio Incompleto;14;Solteiro;Negro;3;1741
223;54;Funcionário Setor Privado;Ensino Médio Incompleto;27;Casado;Negro;5;1100
224;53;Empresário;Analfabeto;27;Solteiro;Branco;0;6333
225;18;Funcionário Setor Privado;Ensino Médio Incompleto;13;Solteiro;Branco;1;1100
226;60;;Ensino Fundamental Completo;24;Divorciado;Indígena;4;1100
227;66;Aposentado;Ensino Médio Incompleto;10;Casado;Branco;1;4678
228;75;Aposentado;Ensino Médio Completo;19;Viúvo;Branco;0;6209
229;65;Funcionário Setor Privado;Ensino Médio Incompleto;6;Divorciado;Branco;0;1100
230;35;Funcionário Setor Privado;Ensino Médio Incompleto;18;Separado;Negro;4;1100
231;41;Funcionário Setor Privado;Ensino Médio Incompleto;22;Divorciado;Negro;4;1100
232;25;Funcionário Setor Privado;Ensino Médio Completo;15;Solteiro;Branco;4;2486
233;33;Funcionário Setor Privado;Ensino Médio Completo;16;Divorciado;Amarelo;0;3565
234;28;Funcionário Setor Privado;Mestrado;26;Solteiro;Branco;;10671
235;59;Servidor Público;Ensino Médio Incompleto;26;Casado;Branco;1;1964
236;40;Servidor Público;Ensino Médio Completo;7;Solteiro;Branco;1;3951
237;41;Funcionário Setor Privado;Ensino Médio Completo;15;Casado;Branco;2;2324
238;38;Empresário;Mestrado;27;Casado;Branco;3;17679
239;23;Funcionário Setor Privado;Ensino Médio Incompleto;10;Solteiro;Branco;2;1100
240;40;Funcionário Setor Privado;Ensino Médio Completo;25;Casado;Branco;0;2862
241;41;Autônomo;Ensino Médio Incompleto;3;Casado;Branco;1;1100
242;24;Servidor Público;Ensino Médio Completo;16;Casado;Branco;4;5500
243;20;;Ensino Médio Completo;17;Solteiro;Branco;1;3803
244;38;Funcionário Setor Privado;Ensino Médio Completo;15;Divorciado;Branco;1;2264
245;56;Funcionário Setor Privado;Ensino Médio Incompleto;1;Casado;Branco;5;1100
246;58;Funcionário Setor Privado;Ensino Médio Incompleto;6;Casado;Branco;4;1100
247;32;Funcionário Setor Privado;Ensino Médio Incompleto;4;Solteiro;Branco;2;1100
248;40;Funcionário Setor Privado;Ensino Médio Completo;27;Casado;Branco;2;3047
249;45;Funcionário Setor Privado;Ensino Médio Incompleto;2;Casado;Branco;3;1100
250;41;Funcionário Setor Privado;Mestrado;8;Casado;Branco;0;8479
251;42;Funcionário Setor Privado;Ensino Médio Completo;17;Casado;Negro;3;2615
252;59;Empresário;Ensino Fundamental Completo;2;Viúvo;Negro;1;14102
253;19;Empresário;Ensino Médio Completo;4;Solteiro;Branco;0;8306
254;58;Funcionário Setor Privado;Ensino Médio Completo;1;Solteiro;Branco;0;2654
255;42;Autônomo;Ensino Médio Incompleto;2;Casado;Pardo;5;1100
256;20;Funcionário Setor Privado;Ensino Médio Incompleto;15;Solteiro;Branco;2;1100
257;32;Funcionário Setor Privado;Ensino Médio Incompleto;22;Separado;Branco;5;1100
258;45;Funcionário Setor Privado;Ensino Médio Completo;4;Viúvo;Branco;5;2944
259;50;Funcionário Setor Privado;Ensino Fundamental Incompleto;26;Divorciado;Branco;1;1100
260;36;Funcionário Setor Privado;Ensino Médio Completo;12;Divorciado;Branco;1;3408
261;45;Funcionário Setor Privado;Ensino Médio Incompleto;13;Casado;Branco;2;1100
262;17;Menor Aprendiz;Ensino Médio Incompleto;24;Solteiro;Branco;2;1100
263;59;Funcionário Setor Privado;Ensino Médio Completo;27;Casado;Branco;1;3381
264;26;Funcionário Setor Privado;Ensino Médio Incompleto;25;Casado;Branco;2;1100
265;37;MEI;Ensino Médio Completo;15;Casado;Pardo;1;5020
266;19;;Ensino Médio Completo;15;Solteiro;Branco;0;3472
267;64;Funcionário Setor Privado;Ensino Médio Incompleto;5;Casado;Branco;1;1100
268;33;Funcionário Setor Privado;Ensino Médio Completo;10;Solteiro;Branco;4;2817
269;33;Funcionário Setor Privado;Ensino Médio Incompleto;13;Casado;Branco;3;1100
270;61;Funcionário Setor Privado;Ensino Médio Incompleto;24;Casado;Branco;3;1100
271;17;Menor Aprendiz;Ensino Fundamental Completo;8;Solteiro;Branco;0;1100
272;50;Autônomo;Mestrado;8;Casado;Branco;5;7431
273;27;Empresário;Mestrado;27;Solteiro;Branco;0;11991
274;30;Funcionário Setor Privado;Ensino Médio Incompleto;10;Divorciado;Branco;5;1100
275;43;Funcionário Setor Privado;Ensino Médio Incompleto;4;Casado;Negro;1;1100
276;44;Funcionário Setor Privado;Ensino Médio Completo;3;Casado;Branco;0;3782
277;35;Funcionário Setor Privado;Ensino Médio Completo;26;Solteiro;Branco;2;3933
278;25;Funcionário Setor Privado;Ensino Médio Completo;18;Solteiro;Branco;2;2804
279;24;Funcionário Setor Privado;Ensino Médio Completo;20;Casado;Branco;2;3627
280;22;Funcionário Setor Privado;Ensino Médio Completo;27;Solteiro;Branco;2;2650
281;42;Empresário;Ensino Médio Completo;20;Casado;Branco;1;6407
282;34;Funcionário Setor Privado;Ensino Médio Completo;19;Divorciado;Negro;5;2004
283;60;Funcionário Setor Privado;Ensino Médio Completo;11;Divorciado;Branco;0;3305
284;21;Funcionário Setor Privado;Ensino Médio Incompleto;17;Solteiro;Branco;2;1100
285;57;Funcionário Público;Mestrado;23;Casado;Branco;4;9054
286;41;Funcionário Setor Privado;Mestrado;11;Casado;Branco;5;6611
287;50;Funcionário Setor Privado;Ensino Médio Completo;9;Divorciado;Branco;0;2785
288;25;Funcionário Setor Privado;Ensino Médio Completo;20;Solteiro;Branco;4;2759
289;50;Funcionário Setor Privado;Ensino Fundamental Incompleto;18;Casado;Branco;5;1100
290;36;Funcionário Setor Privado;Ensino Médio Completo;27;Casado;Branco;3;3384
291;31;Funcionário Setor Privado;Ensino Médio Incompleto;14;Divorciado;Branco;0;1100
292;29;Empresário;Superior Completo;4;Solteiro;Branco;0;17682
293;21;Funcionário Setor Privado;Superior Incompleto;14;Solteiro;Branco;0;3324
294;27;Funcionário Setor Privado;Pós-Graduado;27;Solteiro;Negro;1;10629
295;65;Funcionário Setor Privado;Ensino Médio Incompleto;13;Casado;Branco;1;1100
296;37;MEI;Ensino Médio Completo;18;Divorciado;Branco;;4300
297;39;;Mestrado;24;Casado;Pardo;5;2
298;24;Funcionário Setor Privado;Ensino Médio Incompleto;3;Solteiro;Branco;4;1100
299;38;Funcionário Setor Privado;Ensino Médio Incompleto;15;Divorciado;Branco;1;1100
300;48;Funcionário Setor Privado;Ensino Médio Completo;7;Casado;Branco;0;3643
301;21;Funcionário Setor Privado;Ensino Médio Completo;10;Solteiro;Pardo;5;3330
302;31;Funcionário Setor Privado;Ensino Médio Incompleto;14;Casado;Branco;2;1100
303;55;Funcionário Setor Privado;Ensino Médio Incompleto;16;Casado;Branco;5;1100
304;24;Funcionário Setor Privado;Ensino Médio Completo;4;Casado;Pardo;3;3661
305;43;Funcionário Setor Privado;Ensino Médio Incompleto;13;Divorciado;Branco;5;1100
306;26;Funcionário Setor Privado;Ensino Médio Completo;26;Solteiro;Branco;1;3906
307;46;Funcionário Setor Privado;Ensino Médio Completo;6;Solteiro;Branco;4;2150
308;35;Funcionário Setor Privado;Ensino Médio Completo;19;Casado;Branco;1;2020
309;41;MEI;Ensino Médio Completo;9;Casado;Branco;3;5749
310;26;Funcionário Setor Privado;Ensino Médio Completo;24;Solteiro;Branco;5;2230
311;34;Funcionário Setor Privado;Mestrado;7;Casado;Pardo;0;9095
312;19;;Ensino Médio Completo;24;Solteiro;Negro;0;2856
313;36;Autônomo;Ensino Médio Completo;13;Divorciado;Negro;3;2097
314;22;Funcionário Setor Privado;Ensino Médio Completo;13;Solteiro;Branco;3;3912
315;24;Funcionário Setor Privado;Ensino Médio Completo;8;Solteiro;Branco;0;2901
316;77;Aposentado;Ensino Médio Completo;16;Casado;Branco;3;5681
317;22;Funcionário Setor Privado;Ensino Fundamental Incompleto;21;Casado;Branco;3;1100
318;29;Funcionário Setor Privado;Ensino Médio Completo;22;Solteiro;Branco;1;3888
319;62;Funcionário Setor Privado;Ensino Médio Incompleto;2;Viúvo;Branco;3;1100
320;39;Autônomo;Ensino Médio Incompleto;15;Casado;Branco;0;1100
321;43;Funcionário Setor Privado;Ensino Médio Completo;5;Casado;Branco;1;2298
322;35;Funcionário Setor Privado;Ensino Médio Incompleto;9;Divorciado;Branco;3;1100
323;29;Funcionário Setor Privado;Ensino Médio Incompleto;19;Solteiro;Branco;3;1100
324;76;Aposentado;Mestrado;22;Casado;Branco;3;3393
325;63;Autônomo;Ensino Médio Incompleto;17;Casado;Branco;3;1100
326;23;;Ensino Médio Completo;4;Solteiro;Negro;1;3589
327;43;Funcionário Setor Privado;Ensino Médio Completo;22;Casado;Branco;2;2949
328;58;Autônomo;Ensino Médio Incompleto;7;Casado;Branco;2;1100
329;66;Aposentado;Ensino Médio Incompleto;6;Solteiro;Branco;4;3120
330;41;Funcionário Setor Privado;Ensino Médio Completo;5;Solteiro;Negro;1;3063
331;26;Funcionário Setor Privado;Ensino Médio Completo;2;Solteiro;Branco;5;3939
332;47;Funcionário Setor Privado;Ensino Médio Completo;17;Solteiro;Branco;2;3301
333;55;Empresário;Ensino Fundamental Completo;26;Casado;Branco;0;14090
334;53;Funcionário Setor Privado;Ensino Médio Incompleto;11;Casado;Branco;5;1100
335;17;Menor Aprendiz;Ensino Fundamental Incompleto;3;Solteiro;Branco;2;1100
336;30;Funcionário Setor Privado;Ensino Médio Incompleto;27;Solteiro;Branco;0;1100
337;49;Funcionário Setor Privado;Mestrado;11;Solteiro;Branco;2;9473
